day,month,year,Temperature,rh,ws,rain,ffmc,dmc,dc,isi,bui,fwi,label
0.0,0.0,0.0,0.3500000000000001,0.5217391304347826,0.5217391304347825,0.0,0.5504451038575667,0.04141104294478527,0.003278688524590158,0.06842105263157895,0.0343796711509716,0.01607717041800643,0.0
0.03333333333333333,0.0,0.0,0.3500000000000001,0.5797101449275363,0.3043478260869565,0.07738095238095238,0.5311572700296736,0.05214723926380368,0.003278688524590158,0.05263157894736842,0.041853512705530636,0.012861736334405145,0.0
0.06666666666666668,0.0,0.0,0.19999999999999996,0.8840579710144927,0.6956521739130435,0.7797619047619047,0.2744807121661721,0.027607361963190184,0.0009367681498829022,0.015789473684210523,0.023916292974588936,0.003215434083601286,0.0
0.1,0.0,0.0,0.1499999999999999,0.9855072463768115,0.3043478260869565,0.1488095238095238,0.0,0.009202453987730062,0.0,0.0,0.00896860986547085,0.0,0.0
0.13333333333333333,0.0,0.0,0.25,0.8115942028985508,0.43478260869565216,0.0,0.5370919881305637,0.0352760736196319,0.034192037470725994,0.0631578947368421,0.041853512705530636,0.01607717041800643,0.0
0.16666666666666669,0.0,0.0,0.44999999999999996,0.6666666666666666,0.3478260869565218,0.0,0.8011869436201778,0.07822085889570553,0.07166276346604215,0.1631578947368421,0.0881913303437967,0.08038585209003216,1.0
0.2,0.0,0.0,0.55,0.4782608695652174,0.3043478260869565,0.0,0.884272997032641,0.14110429447852763,0.11053864168618266,0.3368421052631579,0.14648729446935724,0.2315112540192926,1.0
0.23333333333333334,0.0,0.0,0.3999999999999999,0.7536231884057971,0.391304347826087,0.0,0.86053412462908,0.17484662576687116,0.14707259953161592,0.29473684210526313,0.18535127055306427,0.22829581993569129,1.0
0.26666666666666666,0.0,0.0,0.1499999999999999,0.9710144927536233,0.3043478260869565,0.011904761904761904,0.3605341246290801,0.11042944785276075,0.14941451990632318,0.021052631578947368,0.14050822122571,0.009646302250803858,0.0
0.3,0.0,0.0,0.30000000000000004,0.8405797101449275,0.2608695652173913,0.0,0.6617210682492581,0.13496932515337423,0.18454332552693206,0.06842105263157895,0.17189835575485798,0.028938906752411574,0.0
0.3333333333333333,0.0,0.0,0.44999999999999996,0.6376811594202898,0.3478260869565218,0.0,0.8293768545994064,0.18098159509202455,0.22201405152224823,0.21052631578947367,0.21973094170403587,0.180064308681672,1.0
0.3666666666666667,0.0,0.0,0.19999999999999996,0.8695652173913044,0.5652173913043479,0.0,0.8219584569732937,0.200920245398773,0.25526932084309134,0.2526315789473684,0.24813153961136022,0.22829581993569129,1.0
0.4,0.0,0.0,0.25,0.9130434782608696,0.6521739130434783,0.07142857142857142,0.3175074183976261,0.09202453987730062,0.047306791569086654,0.02631578947368421,0.08370702541106129,0.006430868167202572,0.0
0.43333333333333335,0.0,0.0,0.3999999999999999,0.826086956521739,0.6086956521739131,0.02976190476190476,0.4510385756676557,0.05981595092024539,0.004215456674473067,0.05263157894736842,0.04932735426008969,0.012861736334405145,0.0
0.4666666666666667,0.0,0.0,0.30000000000000004,0.855072463768116,0.47826086956521735,0.1845238095238095,0.3086053412462907,0.0352760736196319,0.0023419203747072556,0.021052631578947368,0.02840059790732436,0.003215434083601286,0.0
0.5,0.0,0.0,0.3500000000000001,0.9855072463768115,0.3043478260869565,0.041666666666666664,0.1112759643916914,0.015337423312883436,0.003278688524590158,0.0,0.016442451420029897,0.0,0.0
0.5333333333333333,0.0,0.0,0.3999999999999999,0.9855072463768115,0.43478260869565216,0.03571428571428571,0.12908011869436198,0.006134969325153375,0.004215456674473067,0.0,0.007473841554559043,0.0,0.0
0.5666666666666667,0.0,0.0,0.44999999999999996,0.826086956521739,0.3478260869565218,0.017857142857142856,0.4198813056379821,0.01840490797546012,0.005152224824355969,0.03684210526315789,0.01943198804185351,0.006430868167202572,0.0
